userId,movieId,ratings,title
18,34150,3.5,Fantastic Four (2005)
21,34150,3.0,Fantastic Four (2005)
28,34150,3.0,Fantastic Four (2005)
62,34150,3.0,Fantastic Four (2005)
68,34150,3.5,Fantastic Four (2005)
105,34150,3.0,Fantastic Four (2005)
139,34150,2.5,Fantastic Four (2005)
166,34150,3.5,Fantastic Four (2005)
177,34150,2.5,Fantastic Four (2005)
200,34150,2.5,Fantastic Four (2005)
219,34150,2.0,Fantastic Four (2005)
232,34150,3.0,Fantastic Four (2005)
249,34150,3.5,Fantastic Four (2005)
274,34150,2.0,Fantastic Four (2005)
298,34150,0.5,Fantastic Four (2005)
344,34150,4.0,Fantastic Four (2005)
380,34150,4.0,Fantastic Four (2005)
382,34150,3.0,Fantastic Four (2005)
414,34150,2.5,Fantastic Four (2005)
438,34150,3.0,Fantastic Four (2005)
448,34150,2.0,Fantastic Four (2005)
466,34150,4.0,Fantastic Four (2005)
475,34150,4.0,Fantastic Four (2005)
477,34150,3.5,Fantastic Four (2005)
480,34150,2.5,Fantastic Four (2005)
483,34150,2.0,Fantastic Four (2005)
495,34150,3.0,Fantastic Four (2005)
509,34150,2.0,Fantastic Four (2005)
525,34150,1.0,Fantastic Four (2005)
534,34150,3.0,Fantastic Four (2005)
567,34150,1.0,Fantastic Four (2005)
580,34150,3.0,Fantastic Four (2005)
590,34150,2.0,Fantastic Four (2005)
596,34150,3.0,Fantastic Four (2005)
599,34150,2.5,Fantastic Four (2005)
605,34150,3.5,Fantastic Four (2005)
15,112852,1.5,Guardians of the Galaxy (2014)
18,112852,4.5,Guardians of the Galaxy (2014)
21,112852,4.0,Guardians of the Galaxy (2014)
30,112852,5.0,Guardians of the Galaxy (2014)
52,112852,5.0,Guardians of the Galaxy (2014)
62,112852,4.0,Guardians of the Galaxy (2014)
63,112852,4.0,Guardians of the Galaxy (2014)
68,112852,4.5,Guardians of the Galaxy (2014)
73,112852,5.0,Guardians of the Galaxy (2014)
98,112852,3.0,Guardians of the Galaxy (2014)
105,112852,4.0,Guardians of the Galaxy (2014)
106,112852,3.5,Guardians of the Galaxy (2014)
111,112852,4.5,Guardians of the Galaxy (2014)
122,112852,4.0,Guardians of the Galaxy (2014)
123,112852,4.0,Guardians of the Galaxy (2014)
148,112852,3.5,Guardians of the Galaxy (2014)
154,112852,5.0,Guardians of the Galaxy (2014)
177,112852,5.0,Guardians of the Galaxy (2014)
184,112852,4.5,Guardians of the Galaxy (2014)
210,112852,5.0,Guardians of the Galaxy (2014)
212,112852,4.0,Guardians of the Galaxy (2014)
241,112852,4.0,Guardians of the Galaxy (2014)
247,112852,4.5,Guardians of the Galaxy (2014)
249,112852,4.5,Guardians of the Galaxy (2014)
292,112852,4.5,Guardians of the Galaxy (2014)
298,112852,4.0,Guardians of the Galaxy (2014)
305,112852,4.5,Guardians of the Galaxy (2014)
306,112852,3.0,Guardians of the Galaxy (2014)
323,112852,4.0,Guardians of the Galaxy (2014)
328,112852,1.0,Guardians of the Galaxy (2014)
331,112852,3.0,Guardians of the Galaxy (2014)
344,112852,5.0,Guardians of the Galaxy (2014)
365,112852,3.0,Guardians of the Galaxy (2014)
380,112852,5.0,Guardians of the Galaxy (2014)
393,112852,5.0,Guardians of the Galaxy (2014)
401,112852,3.5,Guardians of the Galaxy (2014)
414,112852,4.0,Guardians of the Galaxy (2014)
448,112852,3.5,Guardians of the Galaxy (2014)
466,112852,3.5,Guardians of the Galaxy (2014)
475,112852,4.5,Guardians of the Galaxy (2014)
495,112852,5.0,Guardians of the Galaxy (2014)
496,112852,3.0,Guardians of the Galaxy (2014)
506,112852,3.5,Guardians of the Galaxy (2014)
509,112852,4.0,Guardians of the Galaxy (2014)
514,112852,3.0,Guardians of the Galaxy (2014)
522,112852,5.0,Guardians of the Galaxy (2014)
525,112852,4.5,Guardians of the Galaxy (2014)
534,112852,4.5,Guardians of the Galaxy (2014)
550,112852,4.5,Guardians of the Galaxy (2014)
551,112852,3.0,Guardians of the Galaxy (2014)
556,112852,5.0,Guardians of the Galaxy (2014)
561,112852,4.0,Guardians of the Galaxy (2014)
567,112852,3.5,Guardians of the Galaxy (2014)
573,112852,4.5,Guardians of the Galaxy (2014)
586,112852,5.0,Guardians of the Galaxy (2014)
596,112852,3.5,Guardians of the Galaxy (2014)
599,112852,3.5,Guardians of the Galaxy (2014)
601,112852,4.0,Guardians of the Galaxy (2014)
610,112852,4.5,Guardians of the Galaxy (2014)
18,122900,4.0,Ant-Man (2015)
21,122900,3.5,Ant-Man (2015)
52,122900,5.0,Ant-Man (2015)
62,122900,3.5,Ant-Man (2015)
111,122900,3.0,Ant-Man (2015)
122,122900,4.0,Ant-Man (2015)
154,122900,5.0,Ant-Man (2015)
184,122900,4.0,Ant-Man (2015)
210,122900,4.5,Ant-Man (2015)
249,122900,4.0,Ant-Man (2015)
292,122900,4.0,Ant-Man (2015)
298,122900,3.0,Ant-Man (2015)
305,122900,3.5,Ant-Man (2015)
380,122900,5.0,Ant-Man (2015)
382,122900,3.5,Ant-Man (2015)
408,122900,5.0,Ant-Man (2015)
414,122900,3.5,Ant-Man (2015)
448,122900,3.5,Ant-Man (2015)
514,122900,2.0,Ant-Man (2015)
525,122900,3.5,Ant-Man (2015)
534,122900,3.0,Ant-Man (2015)
561,122900,3.5,Ant-Man (2015)
567,122900,3.0,Ant-Man (2015)
586,122900,4.5,Ant-Man (2015)
596,122900,3.5,Ant-Man (2015)
599,122900,2.5,Ant-Man (2015)
610,122900,3.5,Ant-Man (2015)
644,122900,5.0,Ant-Man (2015)
15,122904,2.0,Deadpool (2016)
18,122904,3.5,Deadpool (2016)
21,122904,3.5,Deadpool (2016)
30,122904,5.0,Deadpool (2016)
41,122904,0.5,Deadpool (2016)
50,122904,1.5,Deadpool (2016)
52,122904,5.0,Deadpool (2016)
62,122904,4.5,Deadpool (2016)
65,122904,3.0,Deadpool (2016)
68,122904,4.0,Deadpool (2016)
73,122904,4.5,Deadpool (2016)
98,122904,3.5,Deadpool (2016)
105,122904,4.0,Deadpool (2016)
111,122904,5.0,Deadpool (2016)
114,122904,3.5,Deadpool (2016)
119,122904,4.5,Deadpool (2016)
125,122904,4.5,Deadpool (2016)
141,122904,5.0,Deadpool (2016)
154,122904,5.0,Deadpool (2016)
210,122904,3.5,Deadpool (2016)
212,122904,3.5,Deadpool (2016)
233,122904,3.0,Deadpool (2016)
247,122904,3.0,Deadpool (2016)
248,122904,4.5,Deadpool (2016)
249,122904,4.5,Deadpool (2016)
258,122904,5.0,Deadpool (2016)
279,122904,4.0,Deadpool (2016)
291,122904,5.0,Deadpool (2016)
298,122904,3.0,Deadpool (2016)
305,122904,5.0,Deadpool (2016)
306,122904,3.0,Deadpool (2016)
319,122904,3.5,Deadpool (2016)
331,122904,5.0,Deadpool (2016)
339,122904,2.0,Deadpool (2016)
352,122904,2.5,Deadpool (2016)
365,122904,3.5,Deadpool (2016)
380,122904,5.0,Deadpool (2016)
408,122904,3.5,Deadpool (2016)
414,122904,4.0,Deadpool (2016)
417,122904,4.0,Deadpool (2016)
448,122904,4.0,Deadpool (2016)
475,122904,5.0,Deadpool (2016)
495,122904,5.0,Deadpool (2016)
523,122904,5.0,Deadpool (2016)
525,122904,3.5,Deadpool (2016)
534,122904,5.0,Deadpool (2016)
548,122904,3.0,Deadpool (2016)
550,122904,5.0,Deadpool (2016)
560,122904,3.0,Deadpool (2016)
561,122904,2.0,Deadpool (2016)
586,122904,4.0,Deadpool (2016)
596,122904,4.0,Deadpool (2016)
599,122904,3.5,Deadpool (2016)
610,122904,3.0,Deadpool (2016)
25,122912,5.0,Avengers: Infinity War - Part I (2018)
62,122912,4.0,Avengers: Infinity War - Part I (2018)
98,122912,5.0,Avengers: Infinity War - Part I (2018)
184,122912,5.0,Avengers: Infinity War - Part I (2018)
233,122912,2.0,Avengers: Infinity War - Part I (2018)
248,122912,4.0,Avengers: Infinity War - Part I (2018)
249,122912,4.5,Avengers: Infinity War - Part I (2018)
305,122912,4.5,Avengers: Infinity War - Part I (2018)
338,122912,1.5,Avengers: Infinity War - Part I (2018)
380,122912,5.0,Avengers: Infinity War - Part I (2018)
567,122912,3.0,Avengers: Infinity War - Part I (2018)
586,122912,4.5,Avengers: Infinity War - Part I (2018)
596,122912,4.0,Avengers: Infinity War - Part I (2018)
25,122916,4.5,Thor: Ragnarok (2017)
62,122916,4.0,Thor: Ragnarok (2017)
98,122916,5.0,Thor: Ragnarok (2017)
184,122916,4.5,Thor: Ragnarok (2017)
210,122916,4.5,Thor: Ragnarok (2017)
212,122916,4.5,Thor: Ragnarok (2017)
248,122916,3.5,Thor: Ragnarok (2017)
249,122916,4.5,Thor: Ragnarok (2017)
258,122916,3.0,Thor: Ragnarok (2017)
305,122916,4.5,Thor: Ragnarok (2017)
338,122916,1.0,Thor: Ragnarok (2017)
380,122916,5.0,Thor: Ragnarok (2017)
414,122916,4.0,Thor: Ragnarok (2017)
511,122916,4.0,Thor: Ragnarok (2017)
515,122916,5.0,Thor: Ragnarok (2017)
567,122916,3.0,Thor: Ragnarok (2017)
586,122916,4.5,Thor: Ragnarok (2017)
596,122916,5.0,Thor: Ragnarok (2017)
599,122916,3.0,Thor: Ragnarok (2017)
601,122916,3.5,Thor: Ragnarok (2017)
18,122918,4.0,Guardians of the Galaxy 2 (2017)
50,122918,1.0,Guardians of the Galaxy 2 (2017)
62,122918,4.0,Guardians of the Galaxy 2 (2017)
68,122918,3.5,Guardians of the Galaxy 2 (2017)
98,122918,4.0,Guardians of the Galaxy 2 (2017)
111,122918,4.0,Guardians of the Galaxy 2 (2017)
125,122918,3.5,Guardians of the Galaxy 2 (2017)
184,122918,4.5,Guardians of the Galaxy 2 (2017)
210,122918,5.0,Guardians of the Galaxy 2 (2017)
212,122918,4.0,Guardians of the Galaxy 2 (2017)
248,122918,4.0,Guardians of the Galaxy 2 (2017)
249,122918,4.5,Guardians of the Galaxy 2 (2017)
258,122918,3.5,Guardians of the Galaxy 2 (2017)
305,122918,3.5,Guardians of the Galaxy 2 (2017)
306,122918,3.0,Guardians of the Galaxy 2 (2017)
363,122918,5.0,Guardians of the Galaxy 2 (2017)
380,122918,5.0,Guardians of the Galaxy 2 (2017)
401,122918,4.5,Guardians of the Galaxy 2 (2017)
414,122918,4.0,Guardians of the Galaxy 2 (2017)
475,122918,3.0,Guardians of the Galaxy 2 (2017)
515,122918,5.0,Guardians of the Galaxy 2 (2017)
551,122918,4.0,Guardians of the Galaxy 2 (2017)
567,122918,3.5,Guardians of the Galaxy 2 (2017)
586,122918,5.0,Guardians of the Galaxy 2 (2017)
596,122918,4.0,Guardians of the Galaxy 2 (2017)
599,122918,3.0,Guardians of the Galaxy 2 (2017)
601,122918,4.0,Guardians of the Galaxy 2 (2017)
18,122920,3.0,Captain America: Civil War (2016)
49,122920,4.0,Captain America: Civil War (2016)
62,122920,4.0,Captain America: Civil War (2016)
148,122920,3.5,Captain America: Civil War (2016)
184,122920,4.5,Captain America: Civil War (2016)
212,122920,3.0,Captain America: Civil War (2016)
233,122920,2.0,Captain America: Civil War (2016)
249,122920,4.5,Captain America: Civil War (2016)
279,122920,3.0,Captain America: Civil War (2016)
298,122920,3.0,Captain America: Civil War (2016)
305,122920,4.0,Captain America: Civil War (2016)
380,122920,5.0,Captain America: Civil War (2016)
382,122920,4.0,Captain America: Civil War (2016)
448,122920,3.0,Captain America: Civil War (2016)
475,122920,3.5,Captain America: Civil War (2016)
525,122920,3.5,Captain America: Civil War (2016)
561,122920,3.5,Captain America: Civil War (2016)
567,122920,2.5,Captain America: Civil War (2016)
586,122920,5.0,Captain America: Civil War (2016)
596,122920,3.5,Captain America: Civil War (2016)
599,122920,2.5,Captain America: Civil War (2016)
610,122920,5.0,Captain America: Civil War (2016)
15,122922,2.0,Doctor Strange (2016)
21,122922,4.0,Doctor Strange (2016)
62,122922,4.5,Doctor Strange (2016)
68,122922,3.0,Doctor Strange (2016)
125,122922,4.0,Doctor Strange (2016)
184,122922,4.5,Doctor Strange (2016)
212,122922,4.0,Doctor Strange (2016)
248,122922,4.0,Doctor Strange (2016)
249,122922,4.5,Doctor Strange (2016)
252,122922,4.0,Doctor Strange (2016)
272,122922,2.0,Doctor Strange (2016)
365,122922,3.0,Doctor Strange (2016)
380,122922,5.0,Doctor Strange (2016)
414,122922,3.5,Doctor Strange (2016)
459,122922,5.0,Doctor Strange (2016)
475,122922,4.5,Doctor Strange (2016)
561,122922,2.5,Doctor Strange (2016)
567,122922,3.0,Doctor Strange (2016)
586,122922,5.0,Doctor Strange (2016)
596,122922,3.5,Doctor Strange (2016)
599,122922,2.5,Doctor Strange (2016)
610,122922,3.5,Doctor Strange (2016)
15,122924,1.0,X-Men: Apocalypse (2016)
18,122924,4.0,X-Men: Apocalypse (2016)
62,122924,4.0,X-Men: Apocalypse (2016)
210,122924,4.0,X-Men: Apocalypse (2016)
249,122924,4.0,X-Men: Apocalypse (2016)
298,122924,1.5,X-Men: Apocalypse (2016)
380,122924,3.0,X-Men: Apocalypse (2016)
448,122924,2.0,X-Men: Apocalypse (2016)
549,122924,5.0,X-Men: Apocalypse (2016)
567,122924,1.5,X-Men: Apocalypse (2016)
586,122924,4.5,X-Men: Apocalypse (2016)
596,122924,2.5,X-Men: Apocalypse (2016)
599,122924,2.5,X-Men: Apocalypse (2016)
610,122924,3.5,X-Men: Apocalypse (2016)
18,122926,3.5,Spider-Man: Homecoming (2017)
62,122926,4.0,Spider-Man: Homecoming (2017)
98,122926,5.0,Spider-Man: Homecoming (2017)
184,122926,4.0,Spider-Man: Homecoming (2017)
210,122926,4.5,Spider-Man: Homecoming (2017)
212,122926,4.0,Spider-Man: Homecoming (2017)
249,122926,4.5,Spider-Man: Homecoming (2017)
305,122926,4.0,Spider-Man: Homecoming (2017)
380,122926,5.0,Spider-Man: Homecoming (2017)
414,122926,4.5,Spider-Man: Homecoming (2017)
462,122926,3.0,Spider-Man: Homecoming (2017)
514,122926,4.0,Spider-Man: Homecoming (2017)
567,122926,4.0,Spider-Man: Homecoming (2017)
586,122926,5.0,Spider-Man: Homecoming (2017)
596,122926,4.0,Spider-Man: Homecoming (2017)
599,122926,3.5,Spider-Man: Homecoming (2017)
25,187593,5.0,Deadpool 2 (2018)
62,187593,4.0,Deadpool 2 (2018)
98,187593,5.0,Deadpool 2 (2018)
233,187593,2.5,Deadpool 2 (2018)
248,187593,4.5,Deadpool 2 (2018)
249,187593,5.0,Deadpool 2 (2018)
305,187593,5.0,Deadpool 2 (2018)
331,187593,4.0,Deadpool 2 (2018)
338,187593,1.0,Deadpool 2 (2018)
380,187593,3.0,Deadpool 2 (2018)
514,187593,3.5,Deadpool 2 (2018)
586,187593,4.0,Deadpool 2 (2018)
610,187593,1.0,Deadpool 2 (2018)
